设备编号,设备名称,设备类型,通信协议,功率(W),价格(元),安装位置,状态
SH001,智能吸顶灯,照明设备,Zigbee,12,299,客厅,在线
SH002,智能筒灯,照明设备,Zigbee,8,199,卧室,在线
SH003,智能灯带,照明设备,WiFi,24,399,电视墙,在线
SH004,智能门锁,安防设备,蓝牙,5,1299,入户门,在线
SH005,智能摄像头,安防设备,WiFi,8,599,客厅,在线
SH006,门窗传感器,安防设备,Zigbee,0.5,89,窗户,在线
SH007,人体传感器,安防设备,Zigbee,0.5,79,走廊,在线
SH008,智能插座,电源控制,WiFi,2500,99,客厅,在线
SH009,智能开关,电源控制,Zigbee,2500,159,卧室,在线
SH010,空调伴侣,温控设备,WiFi,2500,199,卧室,在线
SH011,温湿度传感器,环境监测,Zigbee,0.5,69,卧室,在线
SH012,空气质量检测仪,环境监测,WiFi,3,299,客厅,在线
SH013,智能窗帘电机,窗帘控制,Zigbee,30,799,客厅,在线
SH014,智能窗帘电机,窗帘控制,Zigbee,30,799,卧室,在线
SH015,智能音箱,语音控制,WiFi,15,399,客厅,在线
SH016,智能网关,中控设备,WiFi,5,199,客厅,在线
SH017,智能门铃,安防设备,WiFi,3,399,入户门,在线
SH018,燃气报警器,安防设备,Zigbee,1,199,厨房,在线
SH019,烟雾报警器,安防设备,Zigbee,1,159,客厅,在线
SH020,水浸传感器,安防设备,Zigbee,0.5,99,卫生间,在线
SH021,智能晾衣架,生活电器,WiFi,100,1299,阳台,在线
SH022,扫地机器人,生活电器,WiFi,50,1999,客厅,在线
SH023,空气净化器,生活电器,WiFi,60,1599,卧室,在线
SH024,加湿器,生活电器,WiFi,30,399,卧室,在线
SH025,电动窗帘轨道,窗帘控制,Zigbee,25,599,书房,在线
SH026,智能面板,中控设备,Zigbee,2,299,客厅,在线
SH027,智能魔方,中控设备,Zigbee,0.5,99,床头,在线
SH028,智能按钮,中控设备,Zigbee,0.5,59,入户门,在线
SH029,红外遥控器,中控设备,WiFi,3,99,客厅,在线
SH030,智能电视,影音设备,WiFi,120,3999,客厅,在线
